# rust-symbols crates | 2026-03-24T06:27:26Z | 86 crates
# crate|path|deps
account_manager|account_manager/|account_utils,bls,clap_utils,directory,environment,eth2,eth2_keystore,eth2_network_config,eth2_wallet,eth2_wallet_manager,filesystem,slashing_protection,slot_clock,types,validator_dir
account_utils|common/account_utils/|bls,eth2_keystore,eth2_wallet,filesystem,types,validator_dir
beacon_chain|beacon_node/beacon_chain/|bls,eth2,eth2_network_config,execution_layer,fixed_bytes,fork_choice,genesis,int_to_bytes,kzg,lighthouse_version,logging,merkle_proof,metrics,oneshot_broadcast,operation_pool,proto_array,slasher,slot_clock,state_processing,store,task_executor,types
beacon_node|beacon_node/|account_utils,beacon_chain,bls,clap_utils,client,directory,environment,eth2_config,execution_layer,genesis,http_api,lighthouse_network,monitoring_api,network_utils,node_test_rig,slasher,store,task_executor,types
beacon_node_fallback|validator_client/beacon_node_fallback/|bls,eth2,slot_clock,task_executor,types,validator_metrics,validator_test_rig
beacon_processor|beacon_node/beacon_processor/|lighthouse_network,logging,metrics,slot_clock,task_executor,types
bls|crypto/bls/|fixed_bytes
boot_node|boot_node/|beacon_node,clap_utils,eth2_network_config,lighthouse_network,logging,network_utils,types
builder_client|beacon_node/builder_client/|bls,eth2,lighthouse_version
clap_utils|common/clap_utils/|eth2_network_config,types
client|beacon_node/client/|beacon_chain,beacon_processor,directory,environment,eth2,eth2_config,execution_layer,genesis,http_api,http_metrics,kzg,lighthouse_network,logging,metrics,monitoring_api,network,operation_pool,slasher,slasher_service,slot_clock,state_processing,store,task_executor,timer,types
database_manager|database_manager/|beacon_chain,beacon_node,clap_utils,environment,store,types
deposit_contract|common/deposit_contract/|bls,types
directory|common/directory/|clap_utils,eth2_network_config
doppelganger_service|validator_client/doppelganger_service/|beacon_node_fallback,bls,environment,eth2,logging,slot_clock,task_executor,types
ef_tests|testing/ef_tests/|beacon_chain,bls,eth2_network_config,execution_layer,fork_choice,kzg,logging,state_processing,swap_or_not_shuffle,types
eip_3076|common/eip_3076/|bls,fixed_bytes,types
environment|lighthouse/environment/|eth2_config,eth2_network_config,logging,task_executor,types
eth2|common/eth2/|bls,eip_3076,eth2_keystore,pretty_reqwest_error,proto_array,test_random_derive,types
eth2_config|common/eth2_config/|types
eth2_interop_keypairs|common/eth2_interop_keypairs/|bls
eth2_key_derivation|crypto/eth2_key_derivation/|bls
eth2_keystore|crypto/eth2_keystore/|bls,eth2_key_derivation
eth2_network_config|common/eth2_network_config/|eth2_config,fixed_bytes,kzg,pretty_reqwest_error,types
eth2_wallet|crypto/eth2_wallet/|eth2_key_derivation,eth2_keystore
eth2_wallet_manager|common/eth2_wallet_manager/|eth2_wallet,lockfile
execution_engine_integration|testing/execution_engine_integration/|bls,deposit_contract,execution_layer,fixed_bytes,fork_choice,logging,network_utils,task_executor,types
execution_layer|beacon_node/execution_layer/|bls,builder_client,eth2,fixed_bytes,fork_choice,kzg,lighthouse_version,logging,metrics,pretty_reqwest_error,slot_clock,state_processing,task_executor,types
filesystem|common/filesystem/|
fixed_bytes|consensus/fixed_bytes/|
fork_choice|consensus/fork_choice/|beacon_chain,fixed_bytes,logging,metrics,proto_array,state_processing,store,types
genesis|beacon_node/genesis/|bls,int_to_bytes,merkle_proof,state_processing,types
graffiti_file|validator_client/graffiti_file/|bls,types
health_metrics|common/health_metrics/|eth2,metrics
http_api|beacon_node/http_api/|beacon_chain,beacon_processor,bls,directory,eth2,execution_layer,fixed_bytes,genesis,health_metrics,lighthouse_network,lighthouse_version,logging,metrics,network,network_utils,operation_pool,proto_array,slot_clock,state_processing,store,system_health,task_executor,types,warp_utils
http_metrics|beacon_node/http_metrics/|beacon_chain,health_metrics,lighthouse_network,lighthouse_version,logging,malloc_utils,metrics,network_utils,slot_clock,store,types,warp_utils
initialized_validators|validator_client/initialized_validators/|account_utils,bls,eth2_keystore,filesystem,lockfile,metrics,signing_method,types,validator_dir,validator_metrics
int_to_bytes|consensus/int_to_bytes/|
kzg|crypto/kzg/|
lcli|lcli/|account_utils,beacon_chain,bls,clap_utils,deposit_contract,environment,eth2,eth2_network_config,eth2_wallet,execution_layer,fixed_bytes,lighthouse_network,lighthouse_version,network_utils,state_processing,store,types,validator_dir
lighthouse|lighthouse/|account_manager,account_utils,beacon_node,beacon_node_fallback,beacon_processor,bls,boot_node,clap_utils,database_manager,directory,environment,eth2,eth2_network_config,initialized_validators,lighthouse_network,lighthouse_version,logging,metrics,network_utils,slasher,slashing_protection,store,task_executor,tracing_samplers,types,validator_client,validator_dir,validator_manager
lighthouse_network|beacon_node/lighthouse_network/|bls,directory,eth2,fixed_bytes,lighthouse_version,logging,lru_cache,metrics,network_utils,task_executor,types
lighthouse_validator_store|validator_client/lighthouse_validator_store/|account_utils,beacon_node_fallback,bls,doppelganger_service,environment,eth2,initialized_validators,logging,signing_method,slashing_protection,slot_clock,task_executor,types,validator_metrics
lighthouse_version|common/lighthouse_version/|
lockfile|common/lockfile/|
logging|common/logging/|metrics,workspace_members
lru_cache|common/lru_cache/|
malloc_utils|common/malloc_utils/|metrics
merkle_proof|consensus/merkle_proof/|fixed_bytes
metrics|common/metrics/|
monitoring_api|common/monitoring_api/|eth2,health_metrics,lighthouse_version,metrics,store,task_executor
network|beacon_node/network/|beacon_chain,beacon_processor,bls,eth2,eth2_network_config,execution_layer,fixed_bytes,genesis,kzg,lighthouse_network,logging,lru_cache,metrics,operation_pool,slot_clock,store,task_executor,types
network_utils|common/network_utils/|lru_cache,metrics
node_test_rig|testing/node_test_rig/|beacon_node,beacon_node_fallback,environment,eth2,execution_layer,types,validator_client,validator_dir
oneshot_broadcast|common/oneshot_broadcast/|
operation_pool|beacon_node/operation_pool/|beacon_chain,bls,fixed_bytes,metrics,state_processing,store,types
pretty_reqwest_error|common/pretty_reqwest_error/|
proto_array|consensus/proto_array/|fixed_bytes,types
signing_method|validator_client/signing_method/|bls,eth2_keystore,lockfile,task_executor,types,validator_metrics
simulator|testing/simulator/|environment,execution_layer,kzg,logging,node_test_rig,types
slasher|slasher/|bls,filesystem,fixed_bytes,metrics,types
slasher_service|slasher/service/|beacon_chain,directory,lighthouse_network,network,slasher,slot_clock,state_processing,task_executor,types
slashing_protection|validator_client/slashing_protection/|bls,eip_3076,filesystem,fixed_bytes,types
slot_clock|common/slot_clock/|metrics,types
state_processing|consensus/state_processing/|beacon_chain,bls,fixed_bytes,int_to_bytes,merkle_proof,metrics,test_random_derive,types
state_transition_vectors|testing/state_transition_vectors/|beacon_chain,bls,fixed_bytes,state_processing,types
store|beacon_node/store/|beacon_chain,bls,directory,fixed_bytes,logging,metrics,state_processing,types
swap_or_not_shuffle|consensus/swap_or_not_shuffle/|fixed_bytes
system_health|common/system_health/|lighthouse_network,metrics,network_utils,types
target_check|common/target_check/|
task_executor|common/task_executor/|metrics
test_random_derive|common/test_random_derive/|
timer|beacon_node/timer/|beacon_chain,slot_clock,task_executor
tracing_samplers|common/tracing_samplers/|
types|consensus/types/|beacon_chain,bls,eth2_interop_keypairs,fixed_bytes,int_to_bytes,kzg,merkle_proof,state_processing,swap_or_not_shuffle,test_random_derive
validator_client|validator_client/|account_utils,beacon_node_fallback,clap_utils,directory,doppelganger_service,environment,eth2,graffiti_file,initialized_validators,lighthouse_validator_store,metrics,monitoring_api,slashing_protection,slot_clock,types,validator_http_api,validator_http_metrics,validator_metrics,validator_services
validator_dir|common/validator_dir/|bls,deposit_contract,eth2_keystore,filesystem,lockfile,types
validator_http_api|validator_client/http_api/|account_utils,beacon_node_fallback,bls,deposit_contract,directory,doppelganger_service,eth2,eth2_keystore,filesystem,fixed_bytes,graffiti_file,health_metrics,initialized_validators,lighthouse_validator_store,lighthouse_version,logging,signing_method,slashing_protection,slot_clock,system_health,task_executor,types,validator_dir,validator_services,warp_utils
validator_http_metrics|validator_client/http_metrics/|health_metrics,lighthouse_validator_store,lighthouse_version,logging,malloc_utils,metrics,slot_clock,types,validator_metrics,validator_services,warp_utils
validator_manager|validator_manager/|account_utils,beacon_chain,bls,clap_utils,environment,eth2,eth2_network_config,eth2_wallet,http_api,slot_clock,types,validator_http_api
validator_metrics|validator_client/validator_metrics/|metrics
validator_services|validator_client/validator_services/|beacon_node_fallback,bls,eth2,graffiti_file,logging,slot_clock,task_executor,types,validator_metrics
validator_test_rig|testing/validator_test_rig/|eth2,types
warp_utils|common/warp_utils/|eth2,types
web3signer_tests|testing/web3signer_tests/|account_utils,bls,environment,eth2,eth2_keystore,eth2_network_config,fixed_bytes,initialized_validators,lighthouse_validator_store,logging,slashing_protection,slot_clock,task_executor,types
workspace_members|common/workspace_members/|
