# rust-symbols modules | 2026-03-24T06:27:26Z
# crate|module_path|file|pub_count|kinds|doc
account_manager|common|account_manager/src/common.rs|2|1const,1fn|
account_manager||account_manager/src/lib.rs|9|5const,2fn,2mod|
account_manager|validator::create|account_manager/src/validator/create.rs|11|8const,3fn|
account_manager|validator::exit|account_manager/src/validator/exit.rs|13|11const,2fn|
account_manager|validator::import|account_manager/src/validator/import.rs|8|6const,2fn|
account_manager|validator::list|account_manager/src/validator/list.rs|3|1const,2fn|
account_manager|validator|account_manager/src/validator/mod.rs|10|1const,2fn,7mod|
account_manager|validator::modify|account_manager/src/validator/modify.rs|7|5const,2fn|
account_manager|validator::recover|account_manager/src/validator/recover.rs|5|3const,2fn|
account_manager|validator::slashing_protection|account_manager/src/validator/slashing_protection.rs|8|6const,2fn|
account_manager|wallet::create|account_manager/src/wallet/create.rs|14|10const,4fn|
account_manager|wallet::list|account_manager/src/wallet/list.rs|3|1const,2fn|
account_manager|wallet|account_manager/src/wallet/mod.rs|6|1const,2fn,3mod|
account_manager|wallet::recover|account_manager/src/wallet/recover.rs|4|2const,2fn|
account_utils||common/account_utils/src/lib.rs|19|3const,15fn,1mod|Provides functions that are used for key/account management across multiple crates in the
account_utils|validator_definitions|common/account_utils/src/validator_definitions.rs|23|2const,3enum,15fn,3struct|Provides a file format for defining validators that should be initialized by this validator.
beacon_chain|attestation_rewards|beacon_node/beacon_chain/src/attestation_rewards.rs|1|1fn|
beacon_chain|attestation_simulator|beacon_node/beacon_chain/src/attestation_simulator.rs|2|2fn|
beacon_chain|attestation_verification|beacon_node/beacon_chain/src/attestation_verification.rs|28|2enum,23fn,2struct,1trait|Provides verification for the following attestations:
beacon_chain|attestation_verification::batch|beacon_node/beacon_chain/src/attestation_verification/batch.rs|2|2fn|These two `batch_...` functions provide verification of batches of attestations. They provide
beacon_chain|beacon_block_reward|beacon_node/beacon_chain/src/beacon_block_reward.rs|1|1fn|
beacon_chain|beacon_block_streamer|beacon_node/beacon_chain/src/beacon_block_streamer.rs|20|2enum,17fn,1struct|
beacon_chain|beacon_chain|beacon_node/beacon_chain/src/beacon_chain.rs|172|5const,9enum,149fn,4struct,1trait,4type|
beacon_chain|beacon_fork_choice_store|beacon_node/beacon_chain/src/beacon_fork_choice_store.rs|14|1enum,6fn,4struct,3type|Defines the `BeaconForkChoiceStore` which provides the persistent storage for the `ForkChoice`
beacon_chain|beacon_proposer_cache|beacon_node/beacon_chain/src/beacon_proposer_cache.rs|13|1const,9fn,3struct|The `BeaconProposer` cache stores the proposer indices for some epoch.
beacon_chain|beacon_snapshot|beacon_node/beacon_chain/src/beacon_snapshot.rs|5|3fn,2struct|
beacon_chain|bellatrix_readiness|beacon_node/beacon_chain/src/bellatrix_readiness.rs|2|1enum,1fn|Provides tools for checking genesis execution payload consistency.
beacon_chain|blob_verification|beacon_node/beacon_chain/src/blob_verification.rs|33|1enum,29fn,3struct|
beacon_chain|block_production::gloas|beacon_node/beacon_chain/src/block_production/gloas.rs|9|2const,3fn,2struct,2type|
beacon_chain|block_production|beacon_node/beacon_chain/src/block_production/mod.rs|1|1fn|
beacon_chain|block_times_cache|beacon_node/beacon_chain/src/block_times_cache.rs|17|12fn,5struct|This module provides the `BlockTimesCache' which contains information regarding block timings.
beacon_chain|block_verification|beacon_node/beacon_chain/src/block_verification.rs|35|4enum,23fn,4struct,3trait,1type|Provides `SignedBeaconBlock` verification logic.
beacon_chain|block_verification_types|beacon_node/beacon_chain/src/block_verification_types.rs|22|2enum,16fn,3struct,1trait|
beacon_chain|builder|beacon_node/beacon_chain/src/builder.rs|31|29fn,2struct|
beacon_chain|canonical_head|beacon_node/beacon_chain/src/canonical_head.rs|36|33fn,3struct|This module provides all functionality for finding the canonical head, updating all necessary
beacon_chain|chain_config|beacon_node/beacon_chain/src/chain_config.rs|10|8const,1fn,1struct|
beacon_chain|custody_context|beacon_node/beacon_chain/src/custody_context.rs|21|1const,1enum,16fn,3struct|
beacon_chain|data_availability_checker|beacon_node/beacon_chain/src/data_availability_checker.rs|51|4enum,43fn,3struct,1type|
beacon_chain|data_availability_checker::error|beacon_node/beacon_chain/src/data_availability_checker/error.rs|3|2enum,1fn|
beacon_chain|data_availability_checker::overflow_lru_cache|beacon_node/beacon_chain/src/data_availability_checker/overflow_lru_cache.rs|35|2enum,31fn,2struct|
beacon_chain|data_column_verification|beacon_node/beacon_chain/src/data_column_verification.rs|39|1enum,33fn,4struct,1type|
beacon_chain|early_attester_cache|beacon_node/beacon_chain/src/early_attester_cache.rs|15|12fn,3struct|
beacon_chain|envelope_times_cache|beacon_node/beacon_chain/src/envelope_times_cache.rs|11|7fn,4struct|This module provides the `EnvelopeTimesCache` which contains information regarding payload
beacon_chain|errors|beacon_node/beacon_chain/src/errors.rs|2|2enum|
beacon_chain|events|beacon_node/beacon_chain/src/events.rs|38|37fn,1struct|
