# rust-symbols symbols/bls | 2026-03-24T06:27:26Z | 106 symbols
# name|kind|path|signature
AggregatePublicKey|struct|crypto/bls/src/impls/fake_crypto.rs|pub struct AggregatePublicKey([u8; PUBLIC_KEY_BYTES_LEN]);
AggregateSignature|struct|crypto/bls/src/impls/fake_crypto.rs|pub struct AggregateSignature([u8; SIGNATURE_BYTES_LEN]);
BlstAggregatePublicKey|struct|crypto/bls/src/impls/blst.rs|pub struct BlstAggregatePublicKey(blst_core::AggregatePublicKey);
BlstAggregateSignature|struct|crypto/bls/src/impls/blst.rs|pub struct BlstAggregateSignature(blst_core::AggregateSignature);
DST|const|crypto/bls/src/impls/blst.rs|pub const DST: &[u8] = b"BLS_SIG_BLS12381G2_XMD:SHA-256_SSWU_RO_POP_";
EMPTY_SIGNATURE_SERIALIZATION|const|crypto/bls/src/generic_aggregate_signature.rs|pub const EMPTY_SIGNATURE_SERIALIZATION: [u8; SIGNATURE_BYTES_LEN] = [0; SIGNATURE_BYTES_LEN];
Error|enum|crypto/bls/src/lib.rs|pub enum Error
GenericAggregatePublicKey|struct|crypto/bls/src/generic_aggregate_public_key.rs|pub struct GenericAggregatePublicKey<Pub, AggPub>
GenericAggregatePublicKey::aggregate|fn|crypto/bls/src/generic_aggregate_public_key.rs|pub fn aggregate(pubkeys : & [GenericPublicKey < Pub >]) -> Result < Self , Error >
GenericAggregatePublicKey::to_public_key|fn|crypto/bls/src/generic_aggregate_public_key.rs|pub fn to_public_key(&self) -> GenericPublicKey < Pub >
GenericAggregateSignature|struct|crypto/bls/src/generic_aggregate_signature.rs|pub struct GenericAggregateSignature<Pub, AggPub, Sig, AggSig>
GenericAggregateSignature::add_assign|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn add_assign(&mut self, other : & GenericSignature < Pub , Sig >)
GenericAggregateSignature::add_assign_aggregate|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn add_assign_aggregate(&mut self, other : & Self)
GenericAggregateSignature::aggregate_verify|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn aggregate_verify(&self, msgs : & [Hash256], pubkeys : & [& GenericPublicKey < Pub >]) -> bool
GenericAggregateSignature::deserialize|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn deserialize(bytes : & [u8]) -> Result < Self , Error >
GenericAggregateSignature::empty|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn empty() -> Self
GenericAggregateSignature::eth_fast_aggregate_verify|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn eth_fast_aggregate_verify(&self, msg : Hash256, pubkeys : & [& GenericPublicKey < Pub >]) -> bool
GenericAggregateSignature::fast_aggregate_verify|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn fast_aggregate_verify(&self, msg : Hash256, pubkeys : & [& GenericPublicKey < Pub >]) -> bool
GenericAggregateSignature::infinity|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn infinity() -> Self
GenericAggregateSignature::is_empty|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn is_empty(&self) -> bool
GenericAggregateSignature::is_infinity|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn is_infinity(&self) -> bool
GenericAggregateSignature::point|fn|crypto/bls/src/generic_aggregate_signature.rs|pub(crate) fn point(&self) -> Option < & AggSig >
GenericAggregateSignature::serialize|fn|crypto/bls/src/generic_aggregate_signature.rs|pub fn serialize(&self) -> [u8 ; SIGNATURE_BYTES_LEN]
GenericKeypair|struct|crypto/bls/src/generic_keypair.rs|pub struct GenericKeypair<Pub, Sec, Sig>
GenericKeypair::from_components|fn|crypto/bls/src/generic_keypair.rs|pub fn from_components(pk : GenericPublicKey < Pub >, sk : GenericSecretKey < Sig , Pub , Sec >) -> Self
GenericKeypair::random|fn|crypto/bls/src/generic_keypair.rs|pub fn random() -> Self
GenericPublicKey|struct|crypto/bls/src/generic_public_key.rs|pub struct GenericPublicKey<Pub>
GenericPublicKey::as_hex_string|fn|crypto/bls/src/generic_public_key.rs|pub fn as_hex_string(&self) -> String
GenericPublicKey::compress|fn|crypto/bls/src/generic_public_key.rs|pub fn compress(&self) -> GenericPublicKeyBytes < Pub >
GenericPublicKey::deserialize|fn|crypto/bls/src/generic_public_key.rs|pub fn deserialize(bytes : & [u8]) -> Result < Self , Error >
GenericPublicKey::deserialize_uncompressed|fn|crypto/bls/src/generic_public_key.rs|pub fn deserialize_uncompressed(bytes : & [u8]) -> Result < Self , Error >
GenericPublicKey::from_point|fn|crypto/bls/src/generic_public_key.rs|pub(crate) fn from_point(point : Pub) -> Self
GenericPublicKey::point|fn|crypto/bls/src/generic_public_key.rs|pub(crate) fn point(&self) -> & Pub
GenericPublicKey::serialize|fn|crypto/bls/src/generic_public_key.rs|pub fn serialize(&self) -> [u8 ; PUBLIC_KEY_BYTES_LEN]
GenericPublicKey::serialize_uncompressed|fn|crypto/bls/src/generic_public_key.rs|pub fn serialize_uncompressed(&self) -> [u8 ; PUBLIC_KEY_UNCOMPRESSED_BYTES_LEN]
GenericPublicKeyBytes|struct|crypto/bls/src/generic_public_key_bytes.rs|pub struct GenericPublicKeyBytes<Pub>
GenericPublicKeyBytes::as_hex_string|fn|crypto/bls/src/generic_public_key_bytes.rs|pub fn as_hex_string(&self) -> String
GenericPublicKeyBytes::as_serialized|fn|crypto/bls/src/generic_public_key_bytes.rs|pub fn as_serialized(&self) -> & [u8]
GenericPublicKeyBytes::decompress|fn|crypto/bls/src/generic_public_key_bytes.rs|pub fn decompress(&self) -> Result < GenericPublicKey < Pub > , Error >
GenericPublicKeyBytes::deserialize|fn|crypto/bls/src/generic_public_key_bytes.rs|pub fn deserialize(bytes : & [u8]) -> Result < Self , Error >
