# rust-symbols symbols/eth2 | 2026-03-24T06:27:26Z | 434 symbols
# name|kind|path|signature
Accept|enum|common/eth2/src/types.rs|pub enum Accept
AdminPeer|struct|common/eth2/src/types.rs|pub struct AdminPeer
AttestationPerformance|struct|common/eth2/src/lighthouse/attestation_performance.rs|pub struct AttestationPerformance
AttestationPerformance::initialize|fn|common/eth2/src/lighthouse/attestation_performance.rs|pub fn initialize(indices : Vec < u64 >) -> Vec < Self >
AttestationPerformanceQuery|struct|common/eth2/src/lighthouse/attestation_performance.rs|pub struct AttestationPerformanceQuery
AttestationPerformanceStatistics|struct|common/eth2/src/lighthouse/attestation_performance.rs|pub struct AttestationPerformanceStatistics
AttestationPoolQuery|struct|common/eth2/src/types.rs|pub struct AttestationPoolQuery
AttesterData|struct|common/eth2/src/types.rs|pub struct AttesterData
AttesterData::match_attestation_data|fn|common/eth2/src/types.rs|pub fn match_attestation_data<E : EthSpec>(&self, attestation_data : & AttestationData, spec : & ChainSpec) -> bool
AuthResponse|struct|common/eth2/src/lighthouse_vc/std_types.rs|pub struct AuthResponse
AuthorizationHeader|enum|common/eth2/src/lighthouse_vc/http_client.rs|pub enum AuthorizationHeader
BackFillState|enum|common/eth2/src/lighthouse/sync_state.rs|pub enum BackFillState
BeaconCommitteeSelection|struct|common/eth2/src/types.rs|pub struct BeaconCommitteeSelection
BeaconCommitteeSubscription|struct|common/eth2/src/types.rs|pub struct BeaconCommitteeSubscription
BeaconNodeHttpClient|struct|common/eth2/src/lib.rs|pub struct BeaconNodeHttpClient
BeaconNodeHttpClient::from_components|fn|common/eth2/src/lib.rs|pub fn from_components(server : SensitiveUrl, client : reqwest :: Client, timeouts : Timeouts) -> Self
BeaconNodeHttpClient::get_beacon_blinded_blocks|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blinded_blocks<E : EthSpec>(&self, block_id : BlockId) -> Result < Option < ExecutionOptimist...
BeaconNodeHttpClient::get_beacon_blinded_blocks_path|fn|common/eth2/src/lib.rs|pub fn get_beacon_blinded_blocks_path(&self, block_id : BlockId) -> Result < Url , Error >
BeaconNodeHttpClient::get_beacon_blinded_blocks_ssz|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blinded_blocks_ssz<E : EthSpec>(&self, block_id : BlockId, spec : & ChainSpec) -> Result < Op...
BeaconNodeHttpClient::get_beacon_blocks|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blocks<E : EthSpec>(&self, block_id : BlockId) -> Result < Option < ExecutionOptimisticFinali...
BeaconNodeHttpClient::get_beacon_blocks_attestations_v1|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blocks_attestations_v1<E : EthSpec>(&self, block_id : BlockId) -> Result < Option < Execution...
BeaconNodeHttpClient::get_beacon_blocks_attestations_v2|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blocks_attestations_v2<E : EthSpec>(&self, block_id : BlockId) -> Result < Option < Execution...
BeaconNodeHttpClient::get_beacon_blocks_path|fn|common/eth2/src/lib.rs|pub fn get_beacon_blocks_path(&self, block_id : BlockId) -> Result < Url , Error >
BeaconNodeHttpClient::get_beacon_blocks_root|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blocks_root(&self, block_id : BlockId) -> Result < Option < ExecutionOptimisticFinalizedRespo...
BeaconNodeHttpClient::get_beacon_blocks_ssz|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blocks_ssz<E : EthSpec>(&self, block_id : BlockId, spec : & ChainSpec) -> Result < Option < S...
BeaconNodeHttpClient::get_beacon_blocks_v1|fn|common/eth2/src/lib.rs|pub async fn get_beacon_blocks_v1<E : EthSpec>(&self, block_id : BlockId) -> Result < Option < BeaconResponse < Signe...
BeaconNodeHttpClient::get_beacon_genesis|fn|common/eth2/src/lib.rs|pub async fn get_beacon_genesis(&self) -> Result < GenericResponse < GenesisData > , Error >
BeaconNodeHttpClient::get_beacon_headers|fn|common/eth2/src/lib.rs|pub async fn get_beacon_headers(&self, slot : Option < Slot >, parent_root : Option < Hash256 >) -> Result < Option <...
BeaconNodeHttpClient::get_beacon_headers_block_id|fn|common/eth2/src/lib.rs|pub async fn get_beacon_headers_block_id(&self, block_id : BlockId) -> Result < Option < ExecutionOptimisticFinalized...
BeaconNodeHttpClient::get_beacon_light_client_finality_update|fn|common/eth2/src/lib.rs|pub async fn get_beacon_light_client_finality_update<E : EthSpec>(&self) -> Result < Option < BeaconResponse < LightC...
BeaconNodeHttpClient::get_beacon_light_client_optimistic_update|fn|common/eth2/src/lib.rs|pub async fn get_beacon_light_client_optimistic_update<E : EthSpec>(&self) -> Result < Option < BeaconResponse < Ligh...
BeaconNodeHttpClient::get_beacon_light_client_updates|fn|common/eth2/src/lib.rs|pub async fn get_beacon_light_client_updates<E : EthSpec>(&self, start_period : u64, count : u64) -> Result < Option ...
BeaconNodeHttpClient::get_beacon_light_client_updates_ssz|fn|common/eth2/src/lib.rs|pub async fn get_beacon_light_client_updates_ssz<E : EthSpec>(&self, start_period : u64, count : u64) -> Result < Opt...
BeaconNodeHttpClient::get_beacon_pool_attestations_v1|fn|common/eth2/src/lib.rs|pub async fn get_beacon_pool_attestations_v1<E : EthSpec>(&self, slot : Option < Slot >, committee_index : Option < u...
BeaconNodeHttpClient::get_beacon_pool_attestations_v2|fn|common/eth2/src/lib.rs|pub async fn get_beacon_pool_attestations_v2<E : EthSpec>(&self, slot : Option < Slot >, committee_index : Option < u...
BeaconNodeHttpClient::get_beacon_pool_attester_slashings_v1|fn|common/eth2/src/lib.rs|pub async fn get_beacon_pool_attester_slashings_v1<E : EthSpec>(&self) -> Result < GenericResponse < Vec < AttesterSl...
BeaconNodeHttpClient::get_beacon_pool_attester_slashings_v2|fn|common/eth2/src/lib.rs|pub async fn get_beacon_pool_attester_slashings_v2<E : EthSpec>(&self) -> Result < BeaconResponse < Vec < AttesterSla...
BeaconNodeHttpClient::get_beacon_pool_proposer_slashings|fn|common/eth2/src/lib.rs|pub async fn get_beacon_pool_proposer_slashings(&self) -> Result < GenericResponse < Vec < ProposerSlashing > > , Err...
BeaconNodeHttpClient::get_beacon_pool_voluntary_exits|fn|common/eth2/src/lib.rs|pub async fn get_beacon_pool_voluntary_exits(&self) -> Result < GenericResponse < Vec < SignedVoluntaryExit > > , Err...
BeaconNodeHttpClient::get_beacon_rewards_blocks|fn|common/eth2/src/lib.rs|pub async fn get_beacon_rewards_blocks(&self, block_id : BlockId) -> Result < GenericResponse < StandardBlockReward >...
BeaconNodeHttpClient::get_beacon_states_committees|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_committees(&self, state_id : StateId, slot : Option < Slot >, index : Option < u64 >, ...
BeaconNodeHttpClient::get_beacon_states_finality_checkpoints|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_finality_checkpoints(&self, state_id : StateId) -> Result < Option < ExecutionOptimist...
BeaconNodeHttpClient::get_beacon_states_fork|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_fork(&self, state_id : StateId) -> Result < Option < ExecutionOptimisticFinalizedRespo...
BeaconNodeHttpClient::get_beacon_states_pending_consolidations|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_pending_consolidations(&self, state_id : StateId) -> Result < Option < ExecutionOptimi...
BeaconNodeHttpClient::get_beacon_states_pending_deposits|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_pending_deposits(&self, state_id : StateId) -> Result < Option < ExecutionOptimisticFi...
BeaconNodeHttpClient::get_beacon_states_pending_partial_withdrawals|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_pending_partial_withdrawals(&self, state_id : StateId) -> Result < Option < ExecutionO...
BeaconNodeHttpClient::get_beacon_states_proposer_lookahead|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_proposer_lookahead(&self, state_id : StateId) -> Result < Option < ExecutionOptimistic...
BeaconNodeHttpClient::get_beacon_states_proposer_lookahead_ssz|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_proposer_lookahead_ssz(&self, state_id : StateId) -> Result < Option < Vec < u8 > > , ...
BeaconNodeHttpClient::get_beacon_states_randao|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_randao(&self, state_id : StateId, epoch : Option < Epoch >) -> Result < Option < Execu...
BeaconNodeHttpClient::get_beacon_states_root|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_root(&self, state_id : StateId) -> Result < Option < ExecutionOptimisticFinalizedRespo...
BeaconNodeHttpClient::get_beacon_states_sync_committees|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_sync_committees(&self, state_id : StateId, epoch : Option < Epoch >) -> Result < Execu...
BeaconNodeHttpClient::get_beacon_states_validator_balances|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_validator_balances(&self, state_id : StateId, ids : Option < & [ValidatorId] >) -> Res...
BeaconNodeHttpClient::get_beacon_states_validator_id|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_validator_id(&self, state_id : StateId, validator_id : & ValidatorId) -> Result < Opti...
BeaconNodeHttpClient::get_beacon_states_validators|fn|common/eth2/src/lib.rs|pub async fn get_beacon_states_validators(&self, state_id : StateId, ids : Option < & [ValidatorId] >, statuses : Opt...
BeaconNodeHttpClient::get_blob_sidecars|fn|common/eth2/src/lib.rs|pub async fn get_blob_sidecars<E : EthSpec>(&self, block_id : BlockId, indices : Option < & [u64] >, spec : & ChainSp...
BeaconNodeHttpClient::get_blob_sidecars_path|fn|common/eth2/src/lib.rs|pub fn get_blob_sidecars_path(&self, block_id : BlockId) -> Result < Url , Error >
BeaconNodeHttpClient::get_blobs|fn|common/eth2/src/lib.rs|pub async fn get_blobs<E : EthSpec>(&self, block_id : BlockId, versioned_hashes : Option < & [Hash256] >) -> Result <...
BeaconNodeHttpClient::get_blobs_path|fn|common/eth2/src/lib.rs|pub fn get_blobs_path(&self, block_id : BlockId) -> Result < Url , Error >
BeaconNodeHttpClient::get_bytes_opt_accept_header|fn|common/eth2/src/lib.rs|pub async fn get_bytes_opt_accept_header<U : IntoUrl>(&self, url : U, accept_header : Accept, timeout : Duration) -> ...
BeaconNodeHttpClient::get_config_deposit_contract|fn|common/eth2/src/lib.rs|pub async fn get_config_deposit_contract(&self) -> Result < GenericResponse < DepositContractData > , Error >
BeaconNodeHttpClient::get_config_fork_schedule|fn|common/eth2/src/lib.rs|pub async fn get_config_fork_schedule(&self) -> Result < GenericResponse < Vec < Fork > > , Error >
BeaconNodeHttpClient::get_config_spec|fn|common/eth2/src/lib.rs|pub async fn get_config_spec<T : Serialize + DeserializeOwned>(&self) -> Result < GenericResponse < T > , Error >
BeaconNodeHttpClient::get_debug_beacon_heads|fn|common/eth2/src/lib.rs|pub async fn get_debug_beacon_heads(&self) -> Result < GenericResponse < Vec < ChainHeadData > > , Error >
BeaconNodeHttpClient::get_debug_beacon_heads_v1|fn|common/eth2/src/lib.rs|pub async fn get_debug_beacon_heads_v1(&self) -> Result < GenericResponse < Vec < ChainHeadData > > , Error >
BeaconNodeHttpClient::get_debug_beacon_states|fn|common/eth2/src/lib.rs|pub async fn get_debug_beacon_states<E : EthSpec>(&self, state_id : StateId) -> Result < Option < ExecutionOptimistic...
BeaconNodeHttpClient::get_debug_beacon_states_path|fn|common/eth2/src/lib.rs|pub fn get_debug_beacon_states_path(&self, state_id : StateId) -> Result < Url , Error >
BeaconNodeHttpClient::get_debug_beacon_states_ssz|fn|common/eth2/src/lib.rs|pub async fn get_debug_beacon_states_ssz<E : EthSpec>(&self, state_id : StateId, spec : & ChainSpec) -> Result < Opti...
BeaconNodeHttpClient::get_debug_fork_choice|fn|common/eth2/src/lib.rs|pub async fn get_debug_fork_choice(&self) -> Result < ForkChoice , Error >
BeaconNodeHttpClient::get_events|fn|common/eth2/src/lib.rs|pub async fn get_events<E : EthSpec>(&self, topic : & [EventTopic]) -> Result < impl Stream < Item = Result < EventKi...
BeaconNodeHttpClient::get_expected_withdrawals|fn|common/eth2/src/lib.rs|pub async fn get_expected_withdrawals(&self, state_id : & StateId) -> Result < ExecutionOptimisticFinalizedResponse <...
BeaconNodeHttpClient::get_fork_contextual|fn|common/eth2/src/lib.rs|pub async fn get_fork_contextual<T, U, Ctx, Meta>(&self, url : U, ctx_constructor : impl Fn (ForkName) -> Ctx) -> Res...
BeaconNodeHttpClient::get_light_client_bootstrap|fn|common/eth2/src/lib.rs|pub async fn get_light_client_bootstrap<E : EthSpec>(&self, block_root : Hash256) -> Result < Option < BeaconResponse...
BeaconNodeHttpClient::get_lighthouse_analysis_attestation_performance|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_analysis_attestation_performance(&self, start_epoch : Epoch, end_epoch : Epoch, target : ...
BeaconNodeHttpClient::get_lighthouse_analysis_block_packing|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_analysis_block_packing(&self, start_epoch : Epoch, end_epoch : Epoch) -> Result < Vec < B...
BeaconNodeHttpClient::get_lighthouse_custody_info|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_custody_info(&self) -> Result < CustodyInfo , Error >
BeaconNodeHttpClient::get_lighthouse_health|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_health(&self) -> Result < GenericResponse < Health > , Error >
BeaconNodeHttpClient::get_lighthouse_proto_array|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_proto_array(&self) -> Result < GenericResponse < ProtoArray > , Error >
BeaconNodeHttpClient::get_lighthouse_syncing|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_syncing(&self) -> Result < GenericResponse < SyncState > , Error >
BeaconNodeHttpClient::get_lighthouse_validator_inclusion|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_validator_inclusion(&self, epoch : Epoch, validator_id : ValidatorId) -> Result < Generic...
BeaconNodeHttpClient::get_lighthouse_validator_inclusion_global|fn|common/eth2/src/lighthouse.rs|pub async fn get_lighthouse_validator_inclusion_global(&self, epoch : Epoch) -> Result < GenericResponse < GlobalVali...
BeaconNodeHttpClient::get_node_health|fn|common/eth2/src/lib.rs|pub async fn get_node_health(&self) -> Result < StatusCode , Error >
BeaconNodeHttpClient::get_node_identity|fn|common/eth2/src/lib.rs|pub async fn get_node_identity(&self) -> Result < GenericResponse < IdentityData > , Error >
