# rust-symbols symbols/eth2_keystore | 2026-03-24T06:27:26Z | 62 symbols
# name|kind|path|signature
Aes128Ctr|struct|crypto/eth2_keystore/src/json_keystore/cipher_module.rs|pub struct Aes128Ctr
ChecksumFunction|enum|crypto/eth2_keystore/src/json_keystore/checksum_module.rs|pub enum ChecksumFunction
ChecksumModule|struct|crypto/eth2_keystore/src/json_keystore/checksum_module.rs|pub struct ChecksumModule
Cipher|enum|crypto/eth2_keystore/src/json_keystore/cipher_module.rs|pub enum Cipher
Cipher::function|fn|crypto/eth2_keystore/src/json_keystore/cipher_module.rs|pub fn function(&self) -> CipherFunction
CipherFunction|enum|crypto/eth2_keystore/src/json_keystore/cipher_module.rs|pub enum CipherFunction
CipherModule|struct|crypto/eth2_keystore/src/json_keystore/cipher_module.rs|pub struct CipherModule
Crypto|struct|crypto/eth2_keystore/src/json_keystore/mod.rs|pub struct Crypto
DEFAULT_PBKDF2_C|const|crypto/eth2_keystore/src/keystore.rs|pub const DEFAULT_PBKDF2_C: u32 = 262_144;
DKLEN|const|crypto/eth2_keystore/src/keystore.rs|pub const DKLEN: u32 = 32;
DerivedKey|struct|crypto/eth2_keystore/src/derived_key.rs|pub struct DerivedKey([u8; DKLEN as usize]);
DerivedKey::as_bytes|fn|crypto/eth2_keystore/src/derived_key.rs|pub fn as_bytes(&self) -> & [u8]
DerivedKey::as_mut_bytes|fn|crypto/eth2_keystore/src/derived_key.rs|pub fn as_mut_bytes(&mut self) -> & mut [u8]
DerivedKey::zero|fn|crypto/eth2_keystore/src/derived_key.rs|pub fn zero() -> Self
EmptyMap|struct|crypto/eth2_keystore/src/json_keystore/checksum_module.rs|pub struct EmptyMap;
EmptyString|struct|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub struct EmptyString;
Error|enum|crypto/eth2_keystore/src/keystore.rs|pub enum Error
HASH_SIZE|const|crypto/eth2_keystore/src/keystore.rs|pub const HASH_SIZE: usize = 32;
HexBytes|struct|crypto/eth2_keystore/src/json_keystore/hex_bytes.rs|pub struct HexBytes(Vec<u8>);
HexBytes::as_bytes|fn|crypto/eth2_keystore/src/json_keystore/hex_bytes.rs|pub fn as_bytes(&self) -> & [u8]
HexBytes::is_empty|fn|crypto/eth2_keystore/src/json_keystore/hex_bytes.rs|pub fn is_empty(&self) -> bool
HexBytes::len|fn|crypto/eth2_keystore/src/json_keystore/hex_bytes.rs|pub fn len(&self) -> usize
IV_SIZE|const|crypto/eth2_keystore/src/keystore.rs|pub const IV_SIZE: usize = 16;
JsonKeystore|struct|crypto/eth2_keystore/src/json_keystore/mod.rs|pub struct JsonKeystore
Kdf|enum|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub enum Kdf
Kdf::function|fn|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub fn function(&self) -> KdfFunction
KdfFunction|enum|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub enum KdfFunction
KdfModule|struct|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub struct KdfModule
Keystore|struct|crypto/eth2_keystore/src/keystore.rs|pub struct Keystore
Keystore::decrypt_keypair|fn|crypto/eth2_keystore/src/keystore.rs|pub fn decrypt_keypair(&self, password : & [u8]) -> Result < Keypair , Error >
Keystore::description|fn|crypto/eth2_keystore/src/keystore.rs|pub fn description(&self) -> Option < & str >
Keystore::from_json_file|fn|crypto/eth2_keystore/src/keystore.rs|pub fn from_json_file<P : AsRef < Path >>(path : P) -> Result < Self , Error >
Keystore::from_json_reader|fn|crypto/eth2_keystore/src/keystore.rs|pub fn from_json_reader<R : Read>(reader : R) -> Result < Self , Error >
Keystore::from_json_str|fn|crypto/eth2_keystore/src/keystore.rs|pub fn from_json_str(json_string : & str) -> Result < Self , Error >
Keystore::kdf|fn|crypto/eth2_keystore/src/keystore.rs|pub fn kdf(&self) -> & Kdf
Keystore::path|fn|crypto/eth2_keystore/src/keystore.rs|pub fn path(&self) -> Option < String >
Keystore::pubkey|fn|crypto/eth2_keystore/src/keystore.rs|pub fn pubkey(&self) -> & str
Keystore::public_key|fn|crypto/eth2_keystore/src/keystore.rs|pub fn public_key(&self) -> Option < PublicKey >
Keystore::set_description|fn|crypto/eth2_keystore/src/keystore.rs|pub fn set_description(&mut self, description : String)
Keystore::to_json_string|fn|crypto/eth2_keystore/src/keystore.rs|pub fn to_json_string(&self) -> Result < String , Error >
Keystore::to_json_writer|fn|crypto/eth2_keystore/src/keystore.rs|pub fn to_json_writer<W : Write>(&self, writer : W) -> Result < () , Error >
Keystore::uuid|fn|crypto/eth2_keystore/src/keystore.rs|pub fn uuid(&self) -> & Uuid
KeystoreBuilder|struct|crypto/eth2_keystore/src/keystore.rs|pub struct KeystoreBuilder<'a>
KeystoreBuilder::build|fn|crypto/eth2_keystore/src/keystore.rs|pub fn build(self) -> Result < Keystore , Error >
KeystoreBuilder::description|fn|crypto/eth2_keystore/src/keystore.rs|pub fn description(mut self, description : String) -> Self
KeystoreBuilder::kdf|fn|crypto/eth2_keystore/src/keystore.rs|pub fn kdf(mut self, kdf : Kdf) -> Self
KeystoreBuilder::new|fn|crypto/eth2_keystore/src/keystore.rs|pub fn new(keypair : & 'a Keypair, password : & 'a [u8], path : String) -> Result < Self , Error >
Pbkdf2|struct|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub struct Pbkdf2
Prf|enum|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub enum Prf
Prf::mac|fn|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub fn mac(&self, password : & [u8]) -> impl Mac
SALT_SIZE|const|crypto/eth2_keystore/src/keystore.rs|pub const SALT_SIZE: usize = 32;
Scrypt|struct|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub struct Scrypt
Scrypt::default_scrypt|fn|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|pub fn default_scrypt(salt : Vec < u8 >) -> Self
Sha256Checksum|struct|crypto/eth2_keystore/src/json_keystore/checksum_module.rs|pub struct Sha256Checksum(String);
Sha256Checksum::function|fn|crypto/eth2_keystore/src/json_keystore/checksum_module.rs|pub fn function() -> ChecksumFunction
Version|enum|crypto/eth2_keystore/src/json_keystore/mod.rs|pub enum Version
Version::four|fn|crypto/eth2_keystore/src/json_keystore/mod.rs|pub fn four() -> Self
decrypt|fn|crypto/eth2_keystore/src/keystore.rs|pub fn decrypt(password : & [u8], crypto : & Crypto) -> Result < PlainText , Error >
default_kdf|fn|crypto/eth2_keystore/src/keystore.rs|pub fn default_kdf(salt : Vec < u8 >) -> Kdf
encrypt|fn|crypto/eth2_keystore/src/keystore.rs|pub fn encrypt(plain_text : & [u8], password : & [u8], kdf : & Kdf, cipher : & Cipher) -> Result < (Vec < u8 > , [u8 ...
json_keystore|mod|crypto/eth2_keystore/src/lib.rs|pub mod json_keystore
keypair_from_secret|fn|crypto/eth2_keystore/src/keystore.rs|pub fn keypair_from_secret(secret : & [u8]) -> Result < Keypair , Error >
