# rust-symbols symbols/eth2_wallet | 2026-03-24T06:27:26Z | 31 symbols
# name|kind|path|signature
COIN_TYPE|const|crypto/eth2_wallet/src/validator_path.rs|pub const COIN_TYPE: u32 = 3600;
Error|enum|crypto/eth2_wallet/src/wallet.rs|pub enum Error
JsonWallet|struct|crypto/eth2_wallet/src/json_wallet/mod.rs|pub struct JsonWallet
KeyType|enum|crypto/eth2_wallet/src/validator_path.rs|pub enum KeyType
PURPOSE|const|crypto/eth2_wallet/src/validator_path.rs|pub const PURPOSE: u32 = 12381;
TypeField|enum|crypto/eth2_wallet/src/json_wallet/mod.rs|pub enum TypeField
ValidatorKeystores|struct|crypto/eth2_wallet/src/wallet.rs|pub struct ValidatorKeystores
ValidatorPath|struct|crypto/eth2_wallet/src/validator_path.rs|pub struct ValidatorPath(Vec<u32>);
ValidatorPath::iter_nodes|fn|crypto/eth2_wallet/src/validator_path.rs|pub fn iter_nodes(&self) -> impl Iterator < Item = & u32 >
ValidatorPath::new|fn|crypto/eth2_wallet/src/validator_path.rs|pub fn new(index : u32, key_type : KeyType) -> Self
Version|enum|crypto/eth2_wallet/src/json_wallet/mod.rs|pub enum Version
Version::one|fn|crypto/eth2_wallet/src/json_wallet/mod.rs|pub fn one() -> Self
Wallet|struct|crypto/eth2_wallet/src/wallet.rs|pub struct Wallet
Wallet::decrypt_seed|fn|crypto/eth2_wallet/src/wallet.rs|pub fn decrypt_seed(&self, password : & [u8]) -> Result < PlainText , Error >
Wallet::from_json_reader|fn|crypto/eth2_wallet/src/wallet.rs|pub fn from_json_reader<R : Read>(reader : R) -> Result < Self , Error >
Wallet::from_json_str|fn|crypto/eth2_wallet/src/wallet.rs|pub fn from_json_str(json_string : & str) -> Result < Self , Error >
Wallet::name|fn|crypto/eth2_wallet/src/wallet.rs|pub fn name(&self) -> & str
Wallet::next_validator|fn|crypto/eth2_wallet/src/wallet.rs|pub fn next_validator(&mut self, wallet_password : & [u8], voting_keystore_password : & [u8], withdrawal_keystore_pas...
Wallet::nextaccount|fn|crypto/eth2_wallet/src/wallet.rs|pub fn nextaccount(&self) -> u32
Wallet::set_nextaccount|fn|crypto/eth2_wallet/src/wallet.rs|pub fn set_nextaccount(&mut self, nextaccount : u32) -> Result < () , Error >
Wallet::to_json_string|fn|crypto/eth2_wallet/src/wallet.rs|pub fn to_json_string(&self) -> Result < String , Error >
Wallet::to_json_writer|fn|crypto/eth2_wallet/src/wallet.rs|pub fn to_json_writer<W : Write>(&self, writer : W) -> Result < () , Error >
Wallet::type_field|fn|crypto/eth2_wallet/src/wallet.rs|pub fn type_field(&self) -> String
Wallet::uuid|fn|crypto/eth2_wallet/src/wallet.rs|pub fn uuid(&self) -> & Uuid
WalletBuilder|struct|crypto/eth2_wallet/src/wallet.rs|pub struct WalletBuilder<'a>
WalletBuilder::build|fn|crypto/eth2_wallet/src/wallet.rs|pub fn build(self) -> Result < Wallet , Error >
WalletBuilder::from_mnemonic|fn|crypto/eth2_wallet/src/wallet.rs|pub fn from_mnemonic(mnemonic : & Mnemonic, password : & 'a [u8], name : String) -> Result < Self , Error >
WalletBuilder::from_seed_bytes|fn|crypto/eth2_wallet/src/wallet.rs|pub fn from_seed_bytes(seed : & [u8], password : & 'a [u8], name : String) -> Result < Self , Error >
json_wallet|mod|crypto/eth2_wallet/src/lib.rs|pub mod json_wallet
recover_validator_secret|fn|crypto/eth2_wallet/src/wallet.rs|pub fn recover_validator_secret(wallet : & Wallet, wallet_password : & [u8], index : u32, key_type : KeyType) -> Resu...
recover_validator_secret_from_mnemonic|fn|crypto/eth2_wallet/src/wallet.rs|pub fn recover_validator_secret_from_mnemonic(secret : & [u8], index : u32, key_type : KeyType) -> Result < (PlainTex...
