# rust-symbols symbols/execution_layer | 2026-03-24T06:27:26Z | 390 symbols
# name|kind|path|signature
Auth|struct|beacon_node/execution_layer/src/engine_api/auth.rs|pub struct Auth
Auth::generate_token|fn|beacon_node/execution_layer/src/engine_api/auth.rs|pub fn generate_token(&self) -> Result < String , Error >
Auth::new|fn|beacon_node/execution_layer/src/engine_api/auth.rs|pub fn new(secret : JwtKey, id : Option < String >, clv : Option < String >) -> Self
Auth::new_with_path|fn|beacon_node/execution_layer/src/engine_api/auth.rs|pub fn new_with_path(jwt_path : PathBuf, id : Option < String >, clv : Option < String >) -> Result < Self , Error >
Auth::validate_token|fn|beacon_node/execution_layer/src/engine_api/auth.rs|pub fn validate_token(token : & str, secret : & JwtKey) -> Result < jsonwebtoken :: TokenData < Claims > , Error >
BAD_PARAMS_ERROR_CODE|const|beacon_node/execution_layer/src/test_utils/handle_rpc.rs|pub const BAD_PARAMS_ERROR_CODE: i64 = -32602;
BUILDER|const|beacon_node/execution_layer/src/metrics.rs|pub const BUILDER: &str = "builder";
BidStuff|trait|beacon_node/execution_layer/src/test_utils/mock_builder.rs|pub trait BidStuff<E: EthSpec>
BlobAndProof|struct|beacon_node/execution_layer/src/engine_api/json_structures.rs|pub struct BlobAndProof<E: EthSpec>
Block|enum|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub enum Block<E: EthSpec>
Block::as_execution_block|fn|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub fn as_execution_block(&self, total_difficulty : Uint256) -> ExecutionBlock
Block::as_execution_payload|fn|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub fn as_execution_payload(&self) -> Option < ExecutionPayload < E > >
Block::block_hash|fn|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub fn block_hash(&self) -> ExecutionBlockHash
Block::block_number|fn|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub fn block_number(&self) -> u64
Block::gas_limit|fn|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub fn gas_limit(&self) -> u64
Block::parent_hash|fn|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub fn parent_hash(&self) -> ExecutionBlockHash
Block::total_difficulty|fn|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub fn total_difficulty(&self) -> Option < Uint256 >
BlockByNumberQuery|enum|beacon_node/execution_layer/src/engine_api.rs|pub enum BlockByNumberQuery<'a>
BlockProposalContents|enum|beacon_node/execution_layer/src/lib.rs|pub enum BlockProposalContents<E: EthSpec, Payload: AbstractExecPayload<E>>
BlockProposalContents::block_value|fn|beacon_node/execution_layer/src/lib.rs|pub fn block_value(&self) -> & Uint256
BlockProposalContents::deconstruct|fn|beacon_node/execution_layer/src/lib.rs|pub fn deconstruct(self) -> (Payload , Option < KzgCommitments < E > > , Option < (BlobsList < E > , KzgProofs < E >)...
BlockProposalContents::payload|fn|beacon_node/execution_layer/src/lib.rs|pub fn payload(&self) -> & Payload
BlockProposalContents::to_payload|fn|beacon_node/execution_layer/src/lib.rs|pub fn to_payload(self) -> Payload
BlockProposalContentsGloas|struct|beacon_node/execution_layer/src/lib.rs|pub struct BlockProposalContentsGloas<E: EthSpec>
BlockProposalContentsType|enum|beacon_node/execution_layer/src/lib.rs|pub enum BlockProposalContentsType<E: EthSpec>
BuilderParams|struct|beacon_node/execution_layer/src/lib.rs|pub struct BuilderParams
CachedResponse|struct|beacon_node/execution_layer/src/engine_api/http.rs|pub struct CachedResponse<T: Clone>
CachedResponse::age|fn|beacon_node/execution_layer/src/engine_api/http.rs|pub fn age(&self) -> Duration
CachedResponse::data|fn|beacon_node/execution_layer/src/engine_api/http.rs|pub fn data(&self) -> T
CachedResponse::new|fn|beacon_node/execution_layer/src/engine_api/http.rs|pub fn new(data : T) -> Self
CachedResponse::older_than|fn|beacon_node/execution_layer/src/engine_api/http.rs|pub fn older_than(&self, age_limit : Option < Duration >) -> bool
ChainHealth|enum|beacon_node/execution_layer/src/lib.rs|pub enum ChainHealth
Claims|struct|beacon_node/execution_layer/src/engine_api/auth.rs|pub struct Claims
ClientCode|enum|beacon_node/execution_layer/src/engine_api.rs|pub enum ClientCode
ClientVersionV1|struct|beacon_node/execution_layer/src/engine_api.rs|pub struct ClientVersionV1
ClientVersionV1::calculate_graffiti|fn|beacon_node/execution_layer/src/engine_api.rs|pub fn calculate_graffiti(&self, lighthouse_commit_prefix : CommitPrefix, validator_graffiti : Option < Graffiti >) -...
CommitPrefix|struct|beacon_node/execution_layer/src/engine_api.rs|pub struct CommitPrefix(pub String);
Config|struct|beacon_node/execution_layer/src/test_utils/mod.rs|pub struct Config
Config|struct|beacon_node/execution_layer/src/lib.rs|pub struct Config
Context|struct|beacon_node/execution_layer/src/test_utils/mod.rs|pub struct Context<E: EthSpec>
Context::get_fcu_payload_status|fn|beacon_node/execution_layer/src/test_utils/mod.rs|pub fn get_fcu_payload_status(&self, block_hash : & ExecutionBlockHash) -> Option < Result < PayloadStatusV1 , String...
Context::get_new_payload_status|fn|beacon_node/execution_layer/src/test_utils/mod.rs|pub fn get_new_payload_status(&self, block_hash : & ExecutionBlockHash) -> Option < Result < PayloadStatusV1 , String...
DEFAULT_BUILDER_PAYLOAD_VALUE_WEI|const|beacon_node/execution_layer/src/test_utils/mod.rs|pub const DEFAULT_BUILDER_PAYLOAD_VALUE_WEI: u128 = 20_000_000_000_000_000;
DEFAULT_BUILDER_PRIVATE_KEY|const|beacon_node/execution_layer/src/test_utils/mock_builder.rs|pub const DEFAULT_BUILDER_PRIVATE_KEY: &str =
DEFAULT_ENGINE_CAPABILITIES|const|beacon_node/execution_layer/src/test_utils/mod.rs|pub const DEFAULT_ENGINE_CAPABILITIES: EngineCapabilities = EngineCapabilities
DEFAULT_EXECUTION_ENDPOINT|const|beacon_node/execution_layer/src/lib.rs|pub const DEFAULT_EXECUTION_ENDPOINT: &str = "http://localhost:8551/";
DEFAULT_FEE_RECIPIENT|const|beacon_node/execution_layer/src/test_utils/mock_builder.rs|pub const DEFAULT_FEE_RECIPIENT: Address = Address::repeat_byte(42);
DEFAULT_GAS_LIMIT|const|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|pub const DEFAULT_GAS_LIMIT: u64 = 60_000_000;
