# rust-symbols symbols/slashing_protection | 2026-03-24T06:27:26Z | 98 symbols
# name|kind|path|signature
CONNECTION_TIMEOUT|const|validator_client/slashing_protection/src/slashing_database.rs|pub const CONNECTION_TIMEOUT: Duration = Duration::from_secs(5);
CONNECTION_TIMEOUT|const|validator_client/slashing_protection/src/slashing_database.rs|pub const CONNECTION_TIMEOUT: Duration = Duration::from_secs(1);
CheckSlashability|enum|validator_client/slashing_protection/src/slashing_database.rs|pub enum CheckSlashability
DEFAULT_DOMAIN|const|validator_client/slashing_protection/src/test_utils.rs|pub const DEFAULT_DOMAIN: Hash256 = Hash256::ZERO;
DEFAULT_GENESIS_VALIDATORS_ROOT|const|validator_client/slashing_protection/src/test_utils.rs|pub const DEFAULT_GENESIS_VALIDATORS_ROOT: Hash256 = Hash256::ZERO;
DEFAULT_VALIDATOR_INDEX|const|validator_client/slashing_protection/src/test_utils.rs|pub const DEFAULT_VALIDATOR_INDEX: usize = 0;
InterchangeError|enum|validator_client/slashing_protection/src/slashing_database.rs|pub enum InterchangeError
InterchangeImportOutcome|enum|validator_client/slashing_protection/src/slashing_database.rs|pub enum InterchangeImportOutcome
InterchangeImportOutcome::failed|fn|validator_client/slashing_protection/src/slashing_database.rs|pub fn failed(&self) -> bool
InvalidAttestation|enum|validator_client/slashing_protection/src/signed_attestation.rs|pub enum InvalidAttestation
InvalidBlock|enum|validator_client/slashing_protection/src/signed_block.rs|pub enum InvalidBlock
MultiTestCase|struct|validator_client/slashing_protection/src/interchange_test.rs|pub struct MultiTestCase
MultiTestCase::gvr|fn|validator_client/slashing_protection/src/interchange_test.rs|pub fn gvr(mut self, genesis_validators_root : Hash256) -> Self
MultiTestCase::new|fn|validator_client/slashing_protection/src/interchange_test.rs|pub fn new(name : & str, steps : Vec < TestCase >) -> Self
MultiTestCase::run|fn|validator_client/slashing_protection/src/interchange_test.rs|pub fn run(&self, minify : bool)
MultiTestCase::single|fn|validator_client/slashing_protection/src/interchange_test.rs|pub fn single(name : & str, test_case : TestCase) -> Self
NotSafe|enum|validator_client/slashing_protection/src/lib.rs|pub enum NotSafe
POOL_SIZE|const|validator_client/slashing_protection/src/slashing_database.rs|pub const POOL_SIZE: u32 = 1;
SLASHING_PROTECTION_FILENAME|const|validator_client/slashing_protection/src/lib.rs|pub const SLASHING_PROTECTION_FILENAME: &str = "slashing_protection.sqlite";
SUPPORTED_INTERCHANGE_FORMAT_VERSION|const|validator_client/slashing_protection/src/slashing_database.rs|pub const SUPPORTED_INTERCHANGE_FORMAT_VERSION: u64 = 5;
Safe|enum|validator_client/slashing_protection/src/lib.rs|pub enum Safe
SignedAttestation|struct|validator_client/slashing_protection/src/signed_attestation.rs|pub struct SignedAttestation
SignedAttestation::from_attestation|fn|validator_client/slashing_protection/src/signed_attestation.rs|pub fn from_attestation(attestation : & AttestationData, domain : Hash256) -> Self
SignedAttestation::from_row|fn|validator_client/slashing_protection/src/signed_attestation.rs|pub fn from_row(row : & rusqlite :: Row) -> rusqlite :: Result < Self >
SignedAttestation::new|fn|validator_client/slashing_protection/src/signed_attestation.rs|pub fn new(source_epoch : Epoch, target_epoch : Epoch, signing_root : SigningRoot) -> Self
SignedBlock|struct|validator_client/slashing_protection/src/signed_block.rs|pub struct SignedBlock
SignedBlock::from_header|fn|validator_client/slashing_protection/src/signed_block.rs|pub fn from_header(header : & BeaconBlockHeader, domain : Hash256) -> Self
SignedBlock::from_row|fn|validator_client/slashing_protection/src/signed_block.rs|pub fn from_row(row : & rusqlite :: Row) -> rusqlite :: Result < Self >
SignedBlock::new|fn|validator_client/slashing_protection/src/signed_block.rs|pub fn new(slot : Slot, signing_root : SigningRoot) -> Self
SigningRoot|struct|validator_client/slashing_protection/src/lib.rs|pub struct SigningRoot(Hash256);
SlashingDatabase|struct|validator_client/slashing_protection/src/slashing_database.rs|pub struct SlashingDatabase
SlashingDatabase::check_and_insert_attestation|fn|validator_client/slashing_protection/src/slashing_database.rs|pub fn check_and_insert_attestation(&self, validator_pubkey : & PublicKeyBytes, attestation : & AttestationData, doma...
SlashingDatabase::check_and_insert_attestation_signing_root|fn|validator_client/slashing_protection/src/slashing_database.rs|pub fn check_and_insert_attestation_signing_root(&self, validator_pubkey : & PublicKeyBytes, att_source_epoch : Epoch...
SlashingDatabase::check_and_insert_attestations|fn|validator_client/slashing_protection/src/slashing_database.rs|pub fn check_and_insert_attestations<'a>(&self, attestations : & 'a [(& 'a AttestationData , & 'a PublicKeyBytes , Ha...
SlashingDatabase::check_and_insert_block_proposal|fn|validator_client/slashing_protection/src/slashing_database.rs|pub fn check_and_insert_block_proposal(&self, validator_pubkey : & PublicKeyBytes, block_header : & BeaconBlockHeader...
SlashingDatabase::check_and_insert_block_signing_root|fn|validator_client/slashing_protection/src/slashing_database.rs|pub fn check_and_insert_block_signing_root(&self, validator_pubkey : & PublicKeyBytes, slot : Slot, signing_root : Si...
